LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,BedroomAbvGr,GarageCars,PoolArea,SalePrice,Artery
8450,7,5,19,19,4,3,3,2,0,208500,0
9600,6,8,46,46,3,3,3,2,0,181500,0
11250,7,5,21,20,4,3,3,2,0,223500,0
9550,7,5,107,52,3,3,3,3,0,140000,0
14260,8,5,22,22,4,3,4,3,0,250000,0
14115,5,5,29,27,3,3,1,2,0,143000,0
10084,8,5,18,17,4,3,3,2,0,307000,0
10382,7,6,49,49,3,3,3,2,0,200000,0
6120,7,5,91,72,3,3,2,2,0,129900,1
7420,5,6,83,72,3,3,2,1,0,118000,1
11200,5,5,57,57,3,3,3,1,0,129500,0
11924,9,5,17,16,5,3,4,3,0,345000,0
12968,5,6,60,60,3,3,2,1,0,144000,0
10652,7,5,16,15,4,3,3,3,0,279500,0
10920,6,5,62,62,3,3,2,1,0,157000,0
6120,7,8,93,21,3,3,2,2,0,132000,0
11241,6,7,52,52,3,3,2,2,0,149000,0
10791,4,5,55,55,3,3,2,2,0,90000,0
13695,5,5,18,18,3,3,3,2,0,159000,0
7560,5,6,64,57,3,3,3,1,0,139000,0
14215,8,5,17,16,4,3,4,3,0,325300,0
7449,7,7,92,72,3,3,3,1,0,139400,0
9742,8,5,20,20,4,3,3,2,0,230000,0
4224,5,7,46,46,3,3,3,2,0,129900,0
8246,5,8,54,21,3,4,3,1,0,154000,0
14230,8,5,15,15,4,3,3,3,0,256300,0
7200,5,7,71,22,3,3,3,2,0,134800,0
11478,8,5,15,14,4,3,3,3,0,306000,0
16321,5,6,65,25,3,3,2,1,0,207500,0
6324,4,6,95,72,3,3,1,1,0,68500,0
8500,4,4,102,72,3,2,3,1,0,40000,0
8544,5,6,56,16,3,3,3,1,0,149350,0
11049,8,5,15,15,4,3,3,2,0,179900,0
10552,5,5,63,63,3,3,4,2,0,165500,0
7313,9,5,17,17,5,3,2,2,0,277500,0
13418,8,5,18,17,4,3,4,3,0,309000,0
10859,5,5,28,27,3,3,3,2,0,145000,0
8532,5,6,68,32,3,3,3,2,0,153000,0
7922,5,7,69,15,3,4,3,1,0,109000,0
6040,4,5,67,67,3,3,2,0,0,82000,0
8658,6,5,57,57,3,3,3,2,0,160000,0
16905,5,6,63,63,3,4,2,1,0,170000,0
9180,5,7,39,39,3,3,2,2,0,144000,0
9200,5,6,47,42,3,3,3,1,0,130250,0
7945,5,6,63,63,3,3,3,1,0,141000,0
7658,9,5,17,17,5,3,2,2,0,319900,0
12822,7,5,19,19,4,3,1,2,0,239686,0
11096,8,5,16,16,4,3,3,3,0,249700,0
4456,4,5,102,14,3,3,2,0,0,113000,0
7742,5,7,56,56,3,3,3,1,0,127000,0
13869,6,6,25,25,3,3,3,2,0,177000,0
6240,6,6,88,72,3,3,3,2,0,114500,0
8472,5,5,59,59,2,3,2,2,0,110000,0
50271,9,5,41,35,4,3,0,3,0,385000,0
7134,5,5,67,67,3,3,3,2,0,130000,0
10175,6,5,58,58,3,3,3,2,0,180500,0
2645,8,5,23,22,4,3,3,2,0,172500,0
11645,7,5,18,18,4,3,3,2,0,196500,0
13682,10,5,16,16,5,3,3,3,0,438780,0
7200,5,7,50,50,3,3,2,1,0,124900,0
13072,6,5,18,18,3,3,3,2,0,158000,0
7200,5,7,102,26,3,3,3,1,0,101000,0
6442,8,5,16,16,4,3,2,2,0,202500,0
10300,7,6,101,72,3,3,3,2,0,140000,0
9375,7,5,25,24,3,3,3,2,0,219500,0
9591,8,5,18,17,4,3,4,3,0,317000,0
19900,7,5,52,33,3,3,3,2,0,180000,0
10665,7,5,19,19,4,3,3,2,0,226000,0
4608,4,6,77,72,3,4,2,1,0,80000,1
15593,7,4,69,69,4,3,3,2,0,225000,0
13651,7,6,49,49,3,4,3,2,0,244000,0
7599,4,6,40,16,3,3,2,2,0,129500,0
10141,7,5,24,24,3,3,3,2,0,185000,0
10200,5,7,68,19,3,3,3,2,0,144900,0
5790,3,6,107,72,4,4,3,1,0,107400,0
1596,4,5,49,49,3,3,2,1,0,91000,0
8475,4,7,66,66,3,3,2,1,0,135750,0
8635,5,5,74,21,3,3,2,1,0,127000,0
10778,4,5,54,54,3,3,4,0,0,136500,0
10440,5,6,112,41,3,3,2,2,0,110000,0
13000,6,6,54,54,3,4,4,1,0,193500,0
4500,6,5,24,24,3,4,2,2,0,153500,0
10206,8,5,15,15,3,3,3,3,0,245000,0
8892,5,5,62,62,3,3,3,2,0,126500,0
8530,7,5,27,26,3,3,3,2,0,168500,0
16059,8,5,31,30,4,3,4,2,0,260000,0
11911,6,5,17,17,4,3,3,2,0,174000,0
3951,6,5,13,13,4,3,2,2,0,164500,0
8470,3,2,107,40,2,2,2,0,0,85000,0
8070,4,5,28,27,3,3,3,0,0,123600,0
7200,4,5,72,72,3,3,2,2,0,109900,0
8500,5,3,61,61,3,3,2,2,0,98600,0
13360,5,7,101,16,3,4,2,2,0,163500,0
7200,6,6,112,24,3,3,4,2,0,133900,0
9337,6,5,25,25,3,4,3,2,0,204750,0
9765,6,8,29,29,5,4,3,2,0,185000,0
10264,7,5,23,23,4,3,3,2,0,214000,0
10921,4,5,57,57,3,3,3,1,0,94750,0
10625,5,5,102,72,3,3,2,1,0,83000,0
9320,4,5,63,63,3,3,3,0,0,128950,0
10603,6,7,45,21,3,3,3,2,0,205000,0
9206,6,5,37,37,4,3,3,2,0,178000,0
7018,5,5,43,43,3,2,4,2,0,118964,0
10402,7,5,13,13,3,3,3,3,0,198900,0
7758,7,4,91,72,3,2,4,1,0,169500,0
9375,8,5,19,18,4,3,3,2,0,250000,0
10800,4,7,137,27,3,3,2,1,0,100000,0
6000,5,5,74,72,3,3,2,1,0,115000,0
8500,5,7,103,17,3,3,3,0,0,115000,1
11751,6,6,45,45,3,3,3,2,0,190000,0
9525,6,4,68,50,3,3,4,1,0,136900,0
7750,7,5,22,22,3,3,3,2,0,180000,0
9965,7,5,15,15,4,3,4,3,0,383970,0
21000,6,5,69,69,3,4,3,2,0,217000,0
7259,6,8,77,20,3,3,3,1,0,259500,0
3230,6,5,23,23,3,3,2,2,0,176000,0
11616,5,5,60,60,3,3,3,1,0,139000,0
8536,5,5,16,15,3,3,2,2,0,155000,0
12376,7,5,32,32,3,3,5,3,0,320000,0
8461,6,5,17,16,4,3,3,2,0,163990,0
21453,6,5,53,53,3,3,1,2,0,180000,0
6060,4,5,83,72,3,3,3,1,0,100000,0
9464,6,7,64,64,3,4,3,1,0,136000,0
7892,6,5,29,29,4,3,2,2,0,153900,0
17043,6,5,43,24,3,4,3,2,0,181000,0
6780,6,8,87,40,3,2,2,0,0,84500,0
4928,6,5,46,46,3,3,2,2,0,128000,0
4388,5,7,92,72,3,4,3,0,0,87000,0
7590,6,5,56,56,3,3,3,2,0,155000,0
8973,5,7,64,31,3,3,3,2,0,150000,0
14200,7,6,56,56,3,3,4,2,0,226000,0
12224,6,5,22,22,4,3,3,2,0,244000,0
7388,5,6,63,20,3,3,3,2,0,150750,0
6853,8,5,21,20,4,3,2,2,0,220000,0
10335,5,6,54,29,3,3,3,2,0,180000,0
10400,7,6,52,52,3,3,3,2,0,174000,0
10355,5,5,55,55,3,3,3,1,0,143000,0
11070,7,5,34,33,3,3,5,3,0,171000,0
9066,8,5,23,22,4,3,3,3,0,230000,0
15426,6,5,25,25,3,3,3,2,0,231500,0
10500,4,5,51,51,3,3,3,0,0,115000,0
11645,7,5,17,17,4,3,3,2,0,260000,0
8520,5,4,70,70,3,2,4,2,0,166000,1
10335,7,5,23,23,4,3,3,2,0,204000,0
9100,5,5,59,59,3,3,6,2,0,125000,0
2522,6,5,18,16,4,3,3,2,0,130000,0
6120,5,7,91,29,3,3,2,1,0,105000,0
9505,7,5,21,21,4,3,3,2,0,222500,0
7500,7,5,18,17,3,3,3,0,0,141000,0
6240,5,4,86,72,3,3,3,1,0,115000,0
10356,5,6,47,47,3,3,3,2,0,122000,0
13891,8,5,15,14,4,3,2,3,0,372402,0
14803,6,5,51,51,3,3,4,2,0,190000,0
13500,6,7,62,47,3,3,1,2,0,235000,0
11340,6,5,99,72,3,3,4,1,0,125000,0
9600,6,5,98,72,3,3,2,0,0,79000,1
7200,5,7,72,72,3,3,2,2,0,109500,0
12003,8,5,13,12,4,3,4,3,0,269500,0
12552,7,5,18,17,4,3,3,2,0,254900,0
19378,7,5,17,16,4,3,4,2,0,320000,0
11120,6,6,38,38,3,3,3,2,0,162500,0
13688,9,5,19,18,4,3,3,3,0,412500,0
12182,7,5,17,17,4,3,3,2,0,220000,0
5500,4,6,66,66,3,3,1,0,0,103200,0
5400,6,7,96,18,3,4,3,1,0,152000,0
10106,5,7,82,23,3,4,4,0,0,127500,0
10708,5,5,67,29,4,3,2,1,0,190000,0
10562,8,5,15,15,4,3,3,3,0,325624,0
8244,7,5,18,18,4,3,3,2,0,183500,0
16669,8,6,41,41,4,3,2,2,0,228000,0
12358,5,6,81,72,3,3,2,2,0,128500,0
31770,6,5,62,62,3,3,3,2,0,215000,0
5306,7,7,35,35,4,4,2,2,0,239000,0
10197,6,5,61,61,3,3,3,2,0,163000,0
12416,6,5,36,36,3,3,3,2,0,184000,0
12615,6,7,72,21,3,3,4,2,0,243000,0
10029,6,5,34,33,4,3,4,2,0,211000,0
13650,5,5,64,64,4,4,4,2,0,172500,0
17423,9,5,14,13,5,3,1,3,0,501837,0
8520,5,6,99,16,4,3,2,2,0,100000,0
2117,6,5,22,22,4,3,3,2,0,177000,0
7588,7,6,102,72,3,3,4,1,0,200100,0
9060,5,6,65,16,3,3,3,1,0,120000,1
11426,7,5,19,19,3,3,3,2,0,200000,0
7438,5,8,114,31,3,3,3,2,0,127000,0
22950,10,9,130,29,4,4,4,3,0,475000,1
